2017-06-15 19:09:50,040 [4] ERROR SuperSocketGPS - Session: e51b8de5-ac6e-4981-985c-66f056b9c286/192.168.1.104:48698
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:50,442 [12] ERROR SuperSocketGPS - Session: 2a39da6f-18f3-4813-bfbe-5d3e48490266/192.168.1.104:48699
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:50,596 [4] ERROR SuperSocketGPS - Session: 47fab393-3093-4e5e-b435-18adc9b3d3bc/192.168.1.104:48700
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:50,767 [12] ERROR SuperSocketGPS - Session: 53d77b02-ba9c-41a4-b9b1-34bc098a5af2/192.168.1.104:48701
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:50,938 [15] ERROR SuperSocketGPS - Session: 5398570c-ed70-4e3f-844d-1c6cdef99a80/192.168.1.104:48702
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:51,545 [10] ERROR SuperSocketGPS - Session: ac186e5b-3f75-4031-9299-a79febfa00cd/192.168.1.104:48703
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:52,132 [15] ERROR SuperSocketGPS - Session: 05b027e3-16d9-4683-b165-0355b803bf76/192.168.1.104:48704
Max request length: 1024, current processed length: 4096
2017-06-15 19:09:52,725 [10] ERROR SuperSocketGPS - Session: 16df1d6b-5ba3-4273-943b-ea56448ca49f/192.168.1.104:48705
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:48,212 [15] ERROR SuperSocketGPS - Session: d847d525-c92c-4ba5-99e3-dbeda2bb2f20/192.168.1.104:48717
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:50,019 [4] ERROR SuperSocketGPS - Session: 57c0e561-de3e-4ff9-aa2f-f953e0f5d800/192.168.1.104:48735
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:50,495 [15] ERROR SuperSocketGPS - Session: 04b9da73-02ff-4299-9751-070d79622099/192.168.1.104:48736
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:50,663 [4] ERROR SuperSocketGPS - Session: c988e5e1-50b7-4a2b-900a-300288ec6907/192.168.1.104:48737
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:50,807 [13] ERROR SuperSocketGPS - Session: b2027d6f-0293-48e9-926f-f55fde05995f/192.168.1.104:48738
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:50,956 [10] ERROR SuperSocketGPS - Session: 4b7de5e3-6db0-402c-8e84-e4a58836ddab/192.168.1.104:48739
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:51,218 [4] ERROR SuperSocketGPS - Session: 5087e919-517a-4407-af18-69d21952db96/192.168.1.104:48740
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:51,345 [13] ERROR SuperSocketGPS - Session: a2e0a5e0-25e9-43fd-86bf-7c35106bf994/192.168.1.104:48741
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:51,497 [4] ERROR SuperSocketGPS - Session: a0c160e6-68e2-481b-a250-2fc0fa53d984/192.168.1.104:48742
Max request length: 1024, current processed length: 4096
2017-06-15 19:10:51,663 [13] ERROR SuperSocketGPS - Session: 4e162fe7-4292-471d-b7c0-f85ec1904512/192.168.1.104:48743
Max request length: 1024, current processed length: 4096
2017-06-15 19:20:14,887 [20] ERROR SuperSocketGPS - Session: b71812be-a306-40b5-a6e1-9fe7a7767299/192.168.1.104:48814
Max request length: 1024, current processed length: 4096
2017-06-15 19:20:33,712 [26] ERROR SuperSocketGPS - Session: f74777e9-7695-4324-be88-4deb37bab7d7/192.168.1.104:49069
Max request length: 1024, current processed length: 4096
2017-06-15 19:21:28,515 [24] ERROR SuperSocketGPS - Session: 0e5f6cac-7114-431f-b736-76f51005009a/192.168.1.104:49083
Max request length: 1024, current processed length: 4096
2017-06-15 19:23:42,154 [9] ERROR SuperSocketGPS - Session: 8c4390f5-5a01-4848-8a19-03091d56883a/192.168.1.104:49138
Max request length: 1024, current processed length: 4096
2017-06-15 19:24:54,868 [10] ERROR SuperSocketGPS - Session: c448cb12-c12c-4261-81d8-60897cb93b2b/192.168.1.104:49142
Max request length: 1024, current processed length: 1520
